,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate
76,Columbus ,GA,194169,195769,189296,0.8240244323244184,-3.306447905439574
121,Fayetteville ,NC,210748,211657,205646,0.43132081917740617,-2.8399722192037116
103,St. Louis ,MO,303419,300576,293792,-0.9369881253316371,-2.2569998935377407
136,Pittsburgh ,PA,300570,300286,294860,-0.09448714109857936,-1.8069440466755027
92,Shreveport ,LA,189360,187112,183819,-1.187156738487537,-1.7599085039976057
90,Baton Rouge ,LA,222190,220236,216701,-0.8794275169899635,-1.6050963511869087
106,Omaha ,NE,477299,478192,470702,0.18709446280004777,-1.5663164586609564
171,Newport News ,VA,178523,179225,177064,0.3932266430655994,-1.2057469661040592
84,Indianapolis ,IN,880739,886220,875929,0.6223183031522391,-1.1612240752860465
131,Tulsa ,OK,400414,401190,396543,0.19379941760278113,-1.1583040454647424
49,Santa Clarita ,CA,213549,212979,210543,-0.26691766292513663,-1.1437747383544856
2,Mobile ,AL,189809,188720,186804,-0.5737346490419316,-1.0152607036880035
60,Bridgeport ,CT,144772,144399,143010,-0.25764650623048657,-0.961918018822845
117,Rochester ,NY,206004,205695,203792,-0.14999708743519544,-0.9251561778361166
11,Tempe ,AZ,191746,195805,194218,2.1168629332554527,-0.8105002425882893
129,Toledo ,OH,274864,272779,270651,-0.758556959077944,-0.7801187041524458
181,Milwaukee ,WI,591375,590157,585589,-0.20596068484464172,-0.774031317090198
23,Garden Grove ,CA,172195,171644,170328,-0.3199860623130753,-0.7667031763417306
163,Midland ,TX,142173,146038,145012,2.718518987430806,-0.7025568687601856
118,Yonkers ,NY,199883,200370,199021,0.24364253088056514,-0.673254479213455
21,Fremont ,CA,237811,241110,239525,1.387236082435211,-0.6573763012732777
